Program,University/Hochschule,Location,Period Of Study,Area Of Study,Focus,Deadlines,Admission Semester,Annotation,Admission Modus,Admission Requirements,Lecture Period,Student Advisory,Link
Agricultural Economics,Humboldt University Berlin,Berlin,4 semesters,Agricultural Economics,"International Agricultural Trade and World Nutrition, Agricultural Management, Structural Change, Competitiveness of Agricultural Production, Agricultural Policy, Resource Conservation and Sustainable Land Use",Deadline to follow,Winter Semester only,-,Without admission restriction | More information regarding admission requirements,"For admission requirements, see https://hu.berlin/master",14.04.2025 - 19.07.2025 | 13.10.2025 - 14.02.2026,- | https://hu.berlin/kontakt,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/humboldt-university-berlin-agricultural-economics-w6045/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-deadlineId=3&hec-studyType=t,v&hec-admissionMode=O,X&hec-subjectGroup=1&hec-id=w6045&hec-offset=0"
Agricultural Science and Resource Management in the Tropics and Subtropics (ARTS),University of Bonn,Bonn,4 semesters,Agricultural Science,-,"No standard application deadlines in the advanced degree programmes, please note the websites of the programmes.",Winter Semester only,-,Local admission restriction | More information regarding admission requirements,-,07.04.2025 - 18.07.2025 | 13.10.2025 - 06.02.2026,zsbatuni-bonn.de | https://www.uni-bonn.de/zsb,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-bonn-agricultural-science-and-resource-management-in-the-tropics-and-subtropics-arts-w890/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-deadlineId=3&hec-studyType=t,v&hec-admissionMode=O,X&hec-subjectGroup=1&hec-id=w890&hec-offset=1"
Agricultural Sciences in the Tropics and Subtropics,University of Hohenheim,Stuttgart-Hohenheim,4 semesters,Agricultural Science | Development Co-operation | Sustainability Sciences (Ecological),"Development Aid, Rural Development, Natural Resource Management, Plant and Animal Production",Until 15.09.2025,Winter Semester only,"Fortgesetztes Bevölkerungswachstum, Klimawandel und verstärkte Ressourcennutzung bedrohen die Lebensgrundlage von Millionen Kleinbauern. Nur mit einer interdisziplinären Anstrengung, die auf evidenzbasierten, wissenschaftlichen Erkenntnissen beruht, kann ein Paradigmenwechsel hin zu einer agroökologischen, nachhaltigen und hoch produktiven Landwirtschaft erreicht werden, die diesen Bauern ihre Lebensgrundlage und den Menschen ihre Nahrung langfristig sichert. 

Der Studiengang vermittelt breitgefächerte Kenntnisse in tropischer Landwirtschaft und verbindet interdisziplinäre Ansätze in einem Studiengang, der dich gezielt in entwicklungsorientierter Agrarforschung ausbildet und auf die Leitung multidisziplinärer Teams vorbereitet. Er kann optional als „Single Degree“ in Hohenheim oder als „Double Degree“ mit der Czech University of Life Sciences in Prag studiert werden.",Without admission restriction | More information regarding admission requirements,"Admission regulations:  
https://www.uni-hohenheim.de/en/application-agritopics-info",01.04.2025 - 12.07.2025 | 13.10.2025 - 31.01.2026,zsbatuni-hohenheim.de | https://www.uni-hohenheim.de/zsb-studieninteressierte,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-hohenheim-agricultural-sciences-in-the-tropics-and-subtropics-w6301/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-deadlineId=3&hec-studyType=t,v&hec-admissionMode=O,X&hec-subjectGroup=1&hec-id=w6301&hec-offset=2"
"Agriculture, Ecology and Societies",University of Kassel,Kassel,4 semesters,Agricultural Science | Husbandry,-,01.12.2025 - 01.03.2026,Winter Semester only,"Part-time study is quite possible due to the course of study in this degree programme. Upon request, you can register for part-time studies in accordance with Section 19 (2) Hesse Higher Education Act (HessHG). The specific provisions for part-time studies will then apply. Counselling by the subject-specific student advice service is recommended.",Without admission restriction | More information regarding admission requirements,"Students with a Bachelor’s degree in a related field must have passed professional and methodological courses worth (at least) 60 ECTS credits in Agricultural Sciences, Economics, Social Sciences or Humanities.
Proof of sufficient English language skills.",13.10.2025 - 13.02.2026 | 13.04.2026 - 17.07.2026,studierenatuni-kassel.de | https://www.uni-kassel.de/uni/studium/kontakt-und-beratung/servicestellen/allgemeine-studienberatung,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-kassel-agriculture-ecology-and-societies-w68262/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-deadlineId=3&hec-studyType=t,v&hec-admissionMode=O,X&hec-subjectGroup=1&hec-id=w68262&hec-offset=3"
AgriGenomics,Kiel University,Kiel,4 semesters,Agricultural Science,-,Until 15.07.2026,Winter Semester only,Around 50 university-wide agreements of cooperation as well as more than 250 ERASMUS partnership contracts offer students a variety of opportunities to study abroad: http://www.international.uni-kiel.de/de/studium-im-ausland,Without admission restriction | More information regarding admission requirements,"-Relevant Bachelor's degree or an equivalent degree. Further requirements are specified in the examination regulations.
- Proof of a command of English in accordance with the
course qualification articles.
- Successful aptitude assessment procedure.",07.04.2025 - 18.07.2025 | 13.10.2025 - 13.02.2026,zsbatuv.uni-kiel.de | http://www.zsb.uni-kiel.de,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/kiel-university-agrigenomics-w30402/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-deadlineId=3&hec-studyType=t,v&hec-admissionMode=O,X&hec-subjectGroup=1&hec-id=w30402&hec-offset=4"
Agrobioinformatics,University of Giessen,Gießen,4 semesters,Agrobiology | Agricultural Science | Bioinformatics,-,Expired,Winter Semester only,-,Without admission restriction | More information regarding admission requirements,-,22.04.2025 - 25.07.2025 | 13.10.2025 - 13.02.2026,zsbatuni-giessen.de | https://www.uni-giessen.de/cms/studium/beratung/zsb,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-giessen-agrobioinformatics-w72714/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-deadlineId=3&hec-studyType=t,v&hec-admissionMode=O,X&hec-subjectGroup=1&hec-id=w72714&hec-offset=5"
Bioeconomy,University of Hohenheim,Stuttgart-Hohenheim,4 semesters,"Agricultural Science | Food Technology | Economic Sciences, Economics","Agricultural science, Sustainability, Management, Bioprocess engineering, Bioeconomy, Bioeconomics, Agricultural Sciences and Management, Sustainability, Economics, Bio-Processing Technology",Until 15.06.2026,Winter Semester only,"Während des interdisziplinären Studiums der gesamten bio-basierten Wertschöpfungsketten und -netze befasst du dich mit den ökologischen, sozialen und wirtschaftlichen Dimensionen der Bioökonomie auf Mikro- und Makroebene. Gleichzeitig lernst du dabei die Anforderungen an die Innovationen, die von den in der bio-basierten Wirtschaft tätigen Organisationen ausgehen müssen, sowie die begleitenden politischen Rahmenbedingungen zu berücksichtigen.",Without admission restriction | More information regarding admission requirements,"Admission regulations:  
https://www.uni-hohenheim.de/en/biecon-apply",01.04.2025 - 12.07.2025 | 13.10.2025 - 31.01.2026,zsbatuni-hohenheim.de | https://www.uni-hohenheim.de/zsb-studieninteressierte,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-hohenheim-bioeconomy-w45839/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-deadlineId=3&hec-studyType=t,v&hec-admissionMode=O,X&hec-subjectGroup=1&hec-id=w45839&hec-offset=6"
Biosphere Reserves Management,Eberswalde University for Sustainable Development,Eberswalde,4 semesters,Agricultural Economics | Agricultural Science | Forestry | Forest Science | Landscape Conservation | Biology,"Communication and Team Work in the Context of Sustainable Development, Political, legal and international framework of UNESCO biosphere reserves, Basics of the Functionality and Modification of Systems, ""Project Management & Innovation"", Governance, Administration and Management for Biosphere Reserves and Protected Areas, Transformation and Education for Sustainable Development (ESD)",01.03.2026 - 01.06.2026,Winter Semester only,-,Without admission restriction | More information regarding admission requirements,"At least 6-semester professionally qualifying certificate of academic degree, amounting to at least 180 ECTS points.
The degree course builds on the Bachelor's degree International Forest Ecosystem Management, Landscape Use and Conservation and Organic Farming and Marketing. It is also suitable for applicants for other  Bachelor´s degree programmes rel   ated to ecosystems/sustainable natural resource management or social-ecological systems research. These include, in particular, degree courses from the following disciplines: Agriculture and forestry, horticulture, agricultural and forestry sciences; nature conservation, landscape ecology; environmental and regional planning, landscape conservation and planning; environmental and resource economics; geography, geology, geoecology and biology; teaching qualification for the aforementioned fields. 
Applicants with other Bachelor's degrees related to sustainability can apply if at least 18 ECTS credits have been acquired in basic scientific or ecological principles.",22.09.2025 - 23.01.2026 | 17.03.2025 - 01.08.2025,studierenathnee.de | https://www.hnee.de/studium/vor-dem-studium/beratung-service/studienberatung,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/eberswalde-university-for-sustainable-development-biosphere-reserves-management-w64567/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-deadlineId=3&hec-studyType=t,v&hec-admissionMode=O,X&hec-subjectGroup=1&hec-id=w64567&hec-offset=7"
Crop Protection,University of Göttingen,Göttingen,4 semesters,Agricultural Science | Husbandry,-,Application deadlines for the respective degree programme at https://www.uni-goettingen.de/de/3811.html,Winter Semester only,-,Local admission restriction | More information regarding admission requirements,-,14.04.2025 - 18.07.2025 | 21.10.2024 - 07.02.2025,zentrale.studienberatungatuni-goettingen.de | https://www.uni-goettingen.de/de/1697.html,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-goettingen-crop-protection-w31306/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-deadlineId=3&hec-studyType=t,v&hec-admissionMode=O,X&hec-subjectGroup=1&hec-id=w31306&hec-offset=8"
Crop Sciences,University of Bonn,Bonn,4 semesters,Agricultural Science,-,https://www.uni-bonn.de/de/studium/bewerbung-zulassung-und-einschreibung/bewerbungsfristen,Winter Semester only,-,Without admission restriction | More information regarding admission requirements,-,07.04.2025 - 18.07.2025 | 13.10.2025 - 06.02.2026,zsbatuni-bonn.de | https://www.uni-bonn.de/zsb,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-bonn-crop-sciences-w38451/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-deadlineId=3&hec-studyType=t,v&hec-admissionMode=O,X&hec-subjectGroup=1&hec-id=w38451&hec-offset=9"
